aught
each
he
her
hers
herself
himself
his
i
it
itself
my
other
our
ourselves
self
she
such
thilk
thine
this
those
thy
thyself
we
what
whatever
whatso
whatsoever
which
whichsoever
who
whoever
whomsoever
whoso
whosoever
you
your
