backslid
foresaw
forewent
melted
misspoke
misspoken
mistaken
outran
outwore
overdid
overdone
overran
oversaw
overshot
overslept
overswollen
overswelled
penned
reached
rebuilt
relighted
relit
remade
retaken
retook
sowed
strived
undersold
underwrote
