absorbed
arisen
awaked
baked
befallen
befell
begat
began
bereaved
betaken
browbeaten
burned
chid
chidden
climbed
clothed
crowed
dared
dealt
dived
drew
dreamed
dreamt
drenched
dressed
eaten
fallen
faln
fleeted
floted
forbad
forbade
forbidden
forbore
forborn
foregone
foreseen
foretold
forgiven
forsaken
forsook
froze
gelded
gilded
grown
hanged
heaved
helped
interwoven
interwove
interweaved
known
leaped
lied
lighted
meseemed
misled
misunderstood
outgrown
outgrew
outshone
overtaken
overthrown
overthrew
partaken
pitched
proved
risen
seethed
sown
shaken
sheared
shined
showed
speeded
spent
stridden
striven
swelled
thrown
undergone
underwritten
upholden
weaved
weeped
withdrawn
withdrew
withheld
withstood
waked
worked
