backslide
behold
bend
beseech
beset,true,beset
betake,false,be,take
bethink,false,be,think
bind
bleed
breed
bring
build
buy
catch
cling
creep
cut,true,cut
deal
feed
feel
find
flee
foretell,true,fore,tell
grind
have
hear
hit,true,hit
hold,true,hold
hurt
keep
lay
lead
lend
let,true,let
lose
make
mean
meet,false,meet
mislead,true,mis,lead
mistell,false,mis,tell
misunderstand,true,mis,understand
overshoot,true,over,shoot
oversleep,true,over,sleep
pay
reave,false,reave
rebuild,true,re,build
remake,true,re,make
repay
rid,true,rid
say
seek
sell
send
set,true,set
shoe
shoot
shut,true,shut
sit,true,sit
sleep
slink
spend
spin,true,spin
split,true,split
spread
stand
stick
sting
string
sweep
swing
teach
tell
think
undersell,true,under,sell
understand
unwind,true,un,wind
wake
wind
withstand,false,with,stand
wring
