absorb,false,absorb
arise
awake
bake
bear
beat
become
befall
beget,false,be,get
begin,true,begin
behight,false,be,hight
bereave
bid,true,bid
bite
blow
break
browbeat,false,brow,beat
burn
cast
chap
chide
choose
cleave
climb
clothe
come
crow
dare
dig,true,dig
dive
do
draw
dream
drench
dress
drink
drive
eat
fall
fight
fleet
fling
flote,false,flote
fly
forbear
forbid,true,forbid
forego
foresee,true,fore,see
forget,true,forget
forgive
forsake
freeze
geld
get,true,get
gild
give
go
grow
hang
hang
heave
help
hide
interweave
know
leap
lie
light
melt
misspeak,false,mis,speak
mistake,false,mis,take
outgrow,false,out,grow
outrun,false,out,run
outshine,false,out,shine
outwear,false,out,wear
overdo,true,over,do
overrun,true,over,run
oversee,true,over,see
overswell,false,over,swell
overtake,true,over,take
overthrow,true,over,throw
partake,true,par,take
pen,true,pen
pitch
reach,true,reach
read
relight,true,re,light
retake,true,re,take
ride
ring
rise
run,true,run
see
seeth,false,seeth
sew
shake
shear
shine
show
shrink
sing
sink
slay
slide
sling
smite
sow
speak
speed
spring
steal
stink
stride
strike
strive
swear
swell
swim,true,swim
take
tear
throw
tread
unbeget,false,un,be,get
undergo,true,under,go
undertake,true,under,take
underwrite,true,under,write
undo,true,un,do
uphold,false,up,hold
wear
weave
weep
withdraw,true,with,draw
withhold,false,with,hold
work
write
