acre
age
al,true,al,
ambush
an
and,true,and
ant,true,ant
ard,true,ard,
are,true,are
art
ate,true,ate
below
bitter,false,bitter
booth
brothel
brown
burse
burthen,false,burthen
ch
chief
clench
coif
commode
corporate
corpse
courage,false,courage
debt
den,true,den
dragon,false,dragon
draw
duct
en,true,en
er,true,er
ever,false,ever
fame
fane
figurate
forest
fy,true,fy
gate,true,gate
globe
glut,true,glut
grail
grain
gree
guerdon,false,guerdon
gulf
hale
he,true,he
her,true,her
hight,true,hight
heart
here
horn
il
imburse,false,im,burse
in
inge
ire
ish,true,ish
it,true,it
knave
lake,true,lake
late,true,late
law,true,law
leaguer,false,leaguer
ledge
lee,true,lee
loo,true,loo
lope
lustre
mad,true,mad
mer,true,mer
mise
nerve
net,true,net
new,true,new
night,true,night,
now
ode,true,ode
on
pannel
paradise
past
pearl
pent
plevin,false,plevin
power,false,power
rapture
re
rheum
quantity
quite
safe
sanguine
sart,true,sart
schedule
scot,true,scot
scribe
sent,true,sent
sex
shew
shrew,true,shrew,
shrine
smut,true,smut
some,true,some
sot,true,sot
strude,true,strude
temperate,false,temperate
then,true,then
thy
troth,true,troth
tort
tract
transitive
tribute
saw
ure
urn
verb
vert
vile
vine
vive
wise
wood
