abject
abominable
abortive
abrupt
absolute
abstemious
abstract
abstracted
abstruse
absurd
abundant
abusive
acceptable
accessory
accidental
accommodate
accurate
accustomable
accustomary
acronycal
active
actual
acute
adequate
admirable
adorable
advantageous
adventurous
adverbial
adverse
advised
affable
affected
affectionate
affirmative
aged
agreeable
alchymical
alimental
allegorical
allegorick
allusive
alphabetical
alphabetick
alterable
alternate
amazing
ambiguous
ambitious
amiable
amicable
amorous
amphibological
ample
anagogical
analogical
analytical
analytick
anathematical
anatomical
ancient
androgynal
angry
angular
annual
anomalous
anonymous
answerable
antecedent
antick
anxious
apert
aphoristical
apish
apocalyptical
apocryphal
apologetical
apologetick
apostolical
apostolick
apparent
applicable
apposite
apprehensive
apt
arbitrarious
arbitrary
ardent
arithmetical
arrant
arrogant
artful
articulate
artificial
artless
assiduous
assured
astrological
astrologick
astronomical
astronomick
atheistical
atheistick
atrocious
attentive
attractive
audacious
audible
auspicious
austere
authentical
authentick
authoritative
autoptical
available
avaricious
averse
awful
awkward
backward
bad
bald
baleful
barbarous
bare
barefaced
barren
base
bashful
bastard
bawdy
beatifical
beatifick
beauteous
beautiful
becoming
behooveful
beneficial
benign
bestial
big
bitter
blamable
blameless
blank
blasphemous
blessed
blind
blissful
blithe
blockish
bloody
blue
blunt
boisterous
bold
bonny
boorish
bounteous
bountiful
boyish
brainsick
brave
brief
bright
brisk
broad
brutal
brutish
busy
buxom
calm
candid
canonical
capital
capricious
captious
careful
careless
carnal
carping
casual
catechetical
categorical
causal
causeless
cautelous
cautious
cavalier
celebrious
celestial
censorious
central
ceremonious
certain
changeable
chargeable
charitable
charming
chary
chaste
cheap
cheerful
chief
childish
chimerical
choice
chorographical
christian
chronological
chuffy
churlish
chymical
chymick
circumspect
circumspective
circumstantial
civil
clandestine
clean
cleanly
clear
clever
close
cloudy
clownish
clumsy
coarse
coeternal
cogent
cold
collateral
collective
collusive
colourable
comfortable
comical
comick
commendable
commensurate
commodious
compact
companionable
comparable
comparative
compassionate
compatible
compendious
competent
complaisant
complete
complex
complexional
complimental
composed
comprehensible
comprehensive
compulsive
compulsory
concavous
conceited
conceivable
concise
conclusive
concomitant
concrete
condign
conditional
confest
confident
conformable
confounded
conglobate
congruous
conical
conick
conjectural
conjoint
conjugal
conjunct
conjunctive
connatural
conscientious
conscionable
conscious
consecutive
consentaneous
consequent
consequential
considerable
considerate
consistent
consonant
constant
contemplative
contemptible
contemptuous
contentious
contiguous
contingent
continual
continuate
contradictory
contrarious
contrary
contumacious
contumelious
convenient
conversable
convertible
convex
convexed
cool
coordinate
copious
cordial
corporal
correct
corrosive
corrupt
corruptible
cosmical
cosmographical
counterfeit
courageous
courteous
covert
covetous
coy
crabbed
crafty
credible
creditable
criminal
criminous
critical
critick
crooked
cross
crude
cruel
crusty
cryptick
culpable
cunning
curious
cursed
cursory
customable
customary
dainty
damnable
dangerous
daring
dark
dead
deaf
dear
debonair
deceitful
decent
decisive
declaratory
deductive
defensive
definitive
deformed
deft
degenerous
delectable
deliberate
delicate
delicious
delightful
delightsome
demonstrable
demonstrative
demure
deplorable
derivative
derogatory
designless
desirous
desolate
desperate
despicable
despiteful
despiteous
destructive
determinate
detestable
devilish
devout
dexterous
diagonal
diametral
diametrical
different
difficult
diffuse
diffused
diffusive
diligent
dim
diminutive
dirty
disadvantageous
disaffected
disastrous
discernible
discerning
disconsolate
discordant
discourteous
discreet
discursive
disdainful
disgraceful
dishonest
disingenuous
disinterested
disjunctive
disloyal
dismal
disobliging
disordinate
dispositive
disproportionable
disproportionate
disquiet
disrespectful
dissolute
distinct
distinctive
distributive
distrustful
diurnal
divers
divine
doctoral
doctrinal
dogged
dogmatical
dogmatick
doleful
dolesome
double
doubtful
dramatical
dramatick
drowsy
dry
due
dull
dumb
durable
duskish
dusky
dutiful
eager
earnest
easy
effective
effectual
efficacious
egregious
eighth
elaborate
elective
elegant
emblematical
emblematick
emetical
emetick
eminent
emphatical
emphatick
empirical
empirick
emulous
endless
enigmatical
enormous
entire
enunciative
equable
equal
equidistant
equinoctial
equitable
equivocal
erratick
erroneous
especial
essential
eternal
ethical
ethick
evasive
eventual
everlasting
evident
evil
evincible
exact
exceeding
excellent
excessive
exclusive
execrable
exemplary
expedient
expedite
expensive
experimental
expert
explicit
express
expressive
exquisite
extemporal
extensive
exterior
external
extorsive
